[2025-10-31 14:11:11.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=853
[2025-10-31 14:11:11.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:11.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:11.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:11.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:11.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:11.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=851
[2025-10-31 14:11:11.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:11.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:11.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:11.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:11.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:11.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:11.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:11.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
[2025-10-31 14:11:11.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:11.722] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:11.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:11.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:11.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=849
[2025-10-31 14:11:11.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
[2025-10-31 14:11:11.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:11.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:12.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:12.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:12.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:12.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:12.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=848
[2025-10-31 14:11:12.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=849
[2025-10-31 14:11:12.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:12.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:12.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:12.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:12.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:12.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:12.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:12.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:12.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=848
[2025-10-31 14:11:12.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:12.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:12.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:12.723] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:12.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:12.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:12.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=850
[2025-10-31 14:11:12.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:12.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=869
[2025-10-31 14:11:12.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:13.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=852
[2025-10-31 14:11:13.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:13.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:13.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:13.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=6310847230000 ns, cksum=863
[2025-10-31 14:11:13.163] [app] [info] [CaptureService.cpp:97] Capture stats: 1920x1080, 0 MB/s, 0 fps
[2025-10-31 14:11:13.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:13.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=852
[2025-10-31 14:11:13.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:13.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:13.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=853
[2025-10-31 14:11:13.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=853
[2025-10-31 14:11:13.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:13.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=852
[2025-10-31 14:11:13.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=851
[2025-10-31 14:11:13.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:13.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:13.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=865
[2025-10-31 14:11:13.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:13.722] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:13.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:13.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:13.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=846
[2025-10-31 14:11:13.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:13.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:13.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=848
[2025-10-31 14:11:14.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:14.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:14.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:14.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:14.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:14.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:14.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:14.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
