# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
1.010565e+02	2.759980e-02	8.540164e-01
1.020892e+02	2.800430e-02	8.540164e-01
1.031434e+02	2.840880e-02	8.540164e-01
1.042011e+02	2.881320e-02	8.540164e-01
1.052667e+02	2.921770e-02	8.540164e-01
1.063748e+02	2.962220e-02	8.540164e-01
1.074627e+02	3.001920e-02	8.540164e-01
1.085915e+02	3.043110e-02	8.540164e-01
1.096875e+02	3.083560e-02	8.540164e-01
1.106060e+02	3.124010e-02	8.540164e-01
1.115514e+02	3.164450e-02	8.540164e-01
1.125137e+02	3.204900e-02	8.540164e-01
1.135622e+02	3.245350e-02	8.540164e-01
1.146301e+02	3.285800e-02	8.540164e-01
1.156979e+02	3.326240e-02	8.540164e-01
1.167658e+02	3.366690e-02	8.540164e-01
1.178339e+02	3.407140e-02	8.540164e-01
1.189017e+02	3.447590e-02	8.540164e-01
1.199695e+02	3.488030e-02	8.540164e-01
1.210167e+02	3.528480e-02	8.540164e-01
1.218978e+02	3.568930e-02	8.540164e-01
1.227787e+02	3.609380e-02	8.540164e-01
1.236659e+02	3.649820e-02	8.540164e-01
1.245580e+02	3.690270e-02	8.540164e-01
1.254501e+02	3.730720e-02	8.540164e-01
1.263429e+02	3.771170e-02	8.540164e-01
1.272355e+02	3.811610e-02	8.540164e-01
1.281283e+02	3.852060e-02	8.540164e-01
1.290211e+02	3.892510e-02	8.540164e-01
1.299137e+02	3.932960e-02	8.540164e-01
1.308065e+02	3.973400e-02	8.540164e-01
1.316993e+02	4.013850e-02	8.540164e-01
1.324888e+02	4.054300e-02	8.540164e-01
1.332058e+02	4.094750e-02	8.540164e-01
1.339580e+02	4.135190e-02	8.540164e-01
1.347615e+02	4.175640e-02	8.540164e-01
1.355684e+02	4.216090e-02	8.540164e-01
1.363853e+02	4.256540e-02	8.540164e-01
1.372361e+02	4.296980e-02	8.540164e-01
1.380868e+02	4.337430e-02	8.540164e-01
1.389375e+02	4.377880e-02	8.540164e-01
1.397882e+02	4.418330e-02	8.540164e-01
1.406392e+02	4.458770e-02	8.540164e-01
1.414706e+02	4.498300e-02	8.540164e-01
1.423406e+02	4.539670e-02	8.540164e-01
1.431855e+02	4.580120e-02	8.540164e-01
1.439548e+02	4.620560e-02	8.540164e-01
1.447114e+02	4.661010e-02	8.540164e-01
1.454684e+02	4.701460e-02	8.540164e-01
1.462253e+02	4.741910e-02	8.540164e-01
1.469821e+02	4.782350e-02	8.540164e-01
1.477390e+02	4.822800e-02	8.540164e-01
1.484957e+02	4.863250e-02	8.540164e-01
1.492526e+02	4.903700e-02	8.540164e-01
1.500095e+02	4.944140e-02	8.540164e-01
1.507664e+02	4.984590e-02	8.540164e-01
1.515022e+02	5.025040e-02	8.540164e-01
1.522197e+02	5.065490e-02	8.540164e-01
1.528936e+02	5.105930e-02	8.540164e-01
1.535504e+02	5.146380e-02	8.540164e-01
1.542071e+02	5.186830e-02	8.540164e-01
1.549537e+02	5.227280e-02	8.540164e-01
1.557157e+02	5.267720e-02	8.540164e-01
1.564778e+02	5.308170e-02	8.540164e-01
1.572399e+02	5.348620e-02	8.540164e-01
1.580020e+02	5.389070e-02	8.540164e-01
1.586578e+02	5.429510e-02	8.540164e-01
1.592275e+02	5.469960e-02	8.540164e-01
1.597975e+02	5.510410e-02	8.540164e-01
1.603672e+02	5.550860e-02	8.540164e-01
1.609369e+02	5.591300e-02	8.540164e-01
1.615066e+02	5.631750e-02	8.540164e-01
1.620763e+02	5.672200e-02	8.540164e-01
1.626154e+02	5.712650e-02	8.540164e-01
1.631311e+02	5.753090e-02	8.540164e-01
1.636470e+02	5.793540e-02	8.540164e-01
1.641627e+02	5.833990e-02	8.540164e-01
1.646784e+02	5.874430e-02	8.540164e-01
1.652330e+02	5.914880e-02	8.540164e-01
1.658637e+02	5.955330e-02	8.540164e-01
1.664941e+02	5.995780e-02	8.540164e-01
1.671246e+02	6.036220e-02	8.540164e-01
1.677553e+02	6.076670e-02	8.540164e-01
1.683857e+02	6.117120e-02	8.540164e-01
1.690164e+02	6.157570e-02	8.540164e-01
1.695609e+02	6.198010e-02	8.540164e-01
1.700613e+02	6.238460e-02	8.540164e-01
1.705615e+02	6.278910e-02	8.540164e-01
1.710619e+02	6.319360e-02	8.540164e-01
1.715623e+02	6.359800e-02	8.540164e-01
1.720625e+02	6.400250e-02	8.540164e-01
1.725619e+02	6.440700e-02	8.540164e-01
1.730608e+02	6.481150e-02	8.540164e-01
1.735443e+02	6.521590e-02	8.540164e-01
1.740242e+02	6.562040e-02	8.540164e-01
1.744796e+02	6.602490e-02	8.540164e-01
1.749870e+02	6.642940e-02	8.540164e-01
1.754026e+02	6.683380e-02	8.540164e-01
1.758769e+02	6.723830e-02	8.540164e-01
1.763519e+02	6.764280e-02	8.540164e-01
6.822315e+01	1.177540e-02	1.006975e+00
7.046348e+01	1.222980e-02	1.006975e+00
7.243740e+01	1.263420e-02	1.006975e+00
7.446802e+01	1.303870e-02	1.006975e+00
7.673333e+01	1.344320e-02	1.006975e+00
7.868700e+01	1.380700e-02	1.006975e+00
8.090190e+01	1.425210e-02	1.006975e+00
8.288865e+01	1.465660e-02	1.006975e+00
8.489610e+01	1.506110e-02	1.006975e+00
8.653500e+01	1.538810e-02	1.006975e+00
8.894835e+01	1.587000e-02	1.006975e+00
9.081158e+01	1.627450e-02	1.006975e+00
9.259042e+01	1.667900e-02	1.006975e+00
9.437130e+01	1.708350e-02	1.006975e+00
9.618345e+01	1.748790e-02	1.006975e+00
9.802980e+01	1.789240e-02	1.006975e+00
9.961492e+01	1.823960e-02	1.006975e+00
1.016561e+02	1.870140e-02	1.006975e+00
1.032912e+02	1.910580e-02	1.006975e+00
1.048468e+02	1.948710e-02	1.006975e+00
1.066039e+02	1.991480e-02	1.006975e+00
1.083616e+02	2.031930e-02	1.006975e+00
1.100788e+02	2.070930e-02	1.006975e+00
1.119233e+02	2.112820e-02	1.006975e+00
1.135966e+02	2.153270e-02	1.006975e+00
1.153107e+02	2.192650e-02	1.006975e+00
1.170686e+02	2.234160e-02	1.006975e+00
1.187951e+02	2.274610e-02	1.006975e+00
1.205426e+02	2.314640e-02	1.006975e+00
1.222702e+02	2.355510e-02	1.006975e+00
1.239896e+02	2.395950e-02	1.006975e+00
1.255212e+02	2.436400e-02	1.006975e+00
1.269923e+02	2.476850e-02	1.006975e+00
1.283906e+02	2.513650e-02	1.006975e+00
1.300109e+02	2.557740e-02	1.006975e+00
1.315217e+02	2.598190e-02	1.006975e+00
1.330380e+02	2.638640e-02	1.006975e+00
1.345574e+02	2.679090e-02	1.006975e+00
1.360330e+02	2.719530e-02	1.006975e+00
1.374482e+02	2.759980e-02	1.006975e+00
1.388545e+02	2.797330e-02	1.006975e+00
1.404209e+02	2.840880e-02	1.006975e+00
1.419127e+02	2.881320e-02	1.006975e+00
1.434022e+02	2.921770e-02	1.006975e+00
