# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
2.767230e+02	4.305000e-02	1.264454e+00
2.886975e+02	4.614300e-02	1.264454e+00
1.019927e+02	1.137200e-02	1.264454e+00
3.129862e+02	5.236000e-02	1.264454e+00
3.250620e+02	5.570300e-02	1.264454e+00
3.625852e+02	6.630400e-02	1.264454e+00
3.752955e+02	6.962500e-02	1.264454e+00
3.880867e+02	7.338200e-02	1.264454e+00
4.011728e+02	7.683200e-02	1.264454e+00
4.143847e+02	8.022900e-02	1.264454e+00
4.278240e+02	8.408400e-02	1.264454e+00
4.413420e+02	8.756300e-02	1.264454e+00
1.135624e+02	1.291700e-02	1.264454e+00
1.251846e+02	1.444300e-02	1.264454e+00
1.367289e+02	1.614000e-02	1.264454e+00
1.483549e+02	1.787900e-02	1.264454e+00
1.599039e+02	1.968600e-02	1.264454e+00
1.715085e+02	2.150900e-02	1.264454e+00
1.830865e+02	2.345700e-02	1.264454e+00
6.716273e+01	6.337000e-03	1.343482e+00
7.883775e+01	7.512000e-03	1.343482e+00
1.833318e+02	2.046600e-02	1.343482e+00
1.949171e+02	2.228600e-02	1.343482e+00
2.065680e+02	2.409600e-02	1.343482e+00
2.182313e+02	2.609700e-02	1.343482e+00
2.299613e+02	2.816300e-02	1.343482e+00
2.416703e+02	3.028000e-02	1.343482e+00
2.534130e+02	3.249900e-02	1.343482e+00
2.652908e+02	3.486500e-02	1.343482e+00
2.770582e+02	3.727300e-02	1.343482e+00
9.044910e+01	8.711000e-03	1.343482e+00
3.010545e+02	4.253500e-02	1.343482e+00
3.132405e+02	4.524800e-02	1.343482e+00
3.252735e+02	4.805500e-02	1.343482e+00
3.376643e+02	5.115400e-02	1.343482e+00
3.499988e+02	5.401900e-02	1.343482e+00
3.625695e+02	5.729200e-02	1.343482e+00
3.751920e+02	6.020300e-02	1.343482e+00
3.878888e+02	6.343000e-02	1.343482e+00
4.009073e+02	6.662600e-02	1.343482e+00
4.139055e+02	6.970200e-02	1.343482e+00
1.020791e+02	1.000500e-02	1.343482e+00
4.272503e+02	7.304900e-02	1.343482e+00
4.405635e+02	7.634400e-02	1.343482e+00
4.540275e+02	7.952600e-02	1.343482e+00
4.675275e+02	8.282700e-02	1.343482e+00
4.778213e+02	8.519200e-02	1.343482e+00
4.917150e+02	8.827100e-02	1.343482e+00
1.136693e+02	1.134800e-02	1.343482e+00
1.253124e+02	1.267500e-02	1.343482e+00
1.368805e+02	1.414400e-02	1.343482e+00
1.485284e+02	1.565000e-02	1.343482e+00
